spotify_id,name,followers,popularity,genres
6e9wIFWhBPHLE9bXK8gtBI,Editors,678939.0,57,"['alternative dance', 'britpop', 'indie rock', 'modern rock', 'rock']"
42TFhl7WlMRXiNqzSrnzPL,Lou Reed,1561831.0,62,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'psychedelic rock', 'rock', 'singer-songwriter']"
1fux65HMCBvfJHqlBc4Nno,Casper Magico,1942222.0,69,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
4jogXSSvlyMkODGSZ2wc2P,Calibre 50,8417456.0,78,['musica mexicana']
2cy1zPcrFcXAJTP0APWewL,Gente De Zona,1478249.0,70,"['cubaton', 'latin hip hop', 'latin pop']"
014WIDx7H4BRCHB1faiisK,Los Tucanes De Tijuana,1925657.0,73,"['corrido', 'musica mexicana', 'norteno', 'ranchera']"
68rvMwPL0yMbYR5cv0pzCR,Elissa,2348603.0,54,"['arab pop', 'lebanese pop']"
4gOc8TsQed9eqnqJct2c5v,K/DA,1616999.0,65,['k-pop girl group']
2gBjLmx6zQnFGQJCAQpRgw,Nelly,2229377.0,74,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
6HTUcOExehqydqa7C3usAa,Abel Pintos,3226958.0,67,"['argentine rock', 'argentine telepop', 'folklore argentino', 'pop argentino']"
6vZXamchcIOKzC1c3Elp4J,Cheb Mami,512756.0,53,"['moroccan pop', 'rai', 'reggae maghreb']"
0GpuSge5ffZ053NhXxgQkV,Cardenales De Nuevo León,1619915.0,69,"['musica mexicana', 'norteno', 'ranchera', 'tropical']"
1ykothWH0xl8drRyJWuw7I,Ñejo & Dalmata,1233768.0,63,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
7KMqksf0UMdyA0UCf4R3ux,James Blunt,2674177.0,70,"['neo mellow', 'pop', 'pop rock']"
2I9SLklAOG0vdMiUUMNxRl,88GLAM,421963.0,58,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
4hFZibFsoIxictRvkZDjIc,Demarco Flamenco,445348.0,56,"['flamenco urbano', 'pop flamenco', 'rumba', 'spanish pop']"
6YIqgghQqnkNne8BKQpW6v,Keisuke Kuwata,441724.0,55,['j-pop']
3EW0kQ1skZiK1NHg3Spt9J,Takeoff,1261393.0,69,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
7K9rdoOJSiKXoVXPlSkGKT,Paty Cantú,2090636.0,63,"['latin arena pop', 'latin pop', 'mexican pop']"
